bear.id,longitude,latitude
7,-148.956023157849,62.6582202228065
57,-152.622838628666,58.3506415347896
69,-144.937396651674,62.3822701136365
75,-152.848485608032,59.9012222743598
104,-143.294815576106,61.0731075296253
108,-149.711130886927,62.9160479944126
115,-151.836062611169,67.9896549867769
116,-147.433472825838,62.5542525604006
125,-157.395904113787,60.2135988736257
135,-155.748289558931,58.8645760164131
137,-144.227624249284,67.1722743356211
162,-162.729589872892,55.0163658005426
185,-133.796180264752,56.8619148148343
208,-145.589296065153,64.6514623333023
220,-153.235034295539,65.9217231706802
226,-157.331908752101,58.1814691525565
233,-132.54411766233,57.2033943260159
239,-135.091061882201,58.3057733241609
247,-134.570654321456,58.4000379333745
282,-149.650335204238,61.0451093029488
304,-143.315564625879,64.0690906565388
330,-154.724335288964,61.2659323192577
332,-134.388017565998,57.6566892641526
334,-147.982995132669,67.8500429621621
372,-161.675604830678,67.152177063344
382,-152.288983339887,68.4815993802294
396,-133.032211812771,57.4013848847169
429,-151.102609060747,60.28931410842
436,-133.632002625421,56.7837058631617
440,-152.801772296262,57.7545374641859
446,-153.533473624857,60.0368637634326
453,-156.231911140938,58.5494827609339
554,-133.115903812743,57.2452373350784
557,-151.640763925826,67.8321128705922
581,-137.628031541354,59.0863421773766
682,-135.549020290709,58.7034051150904
683,-153.926447887851,61.4928704922107
690,-160.522862175941,63.7411599468299
705,-165.186531366471,64.845789053198
781,-152.534473820401,58.5773426333774
789,-133.854074562312,58.2430993036021
807,-155.007160080692,59.4864138659164
839,-141.06120223168,61.6427728734542
859,-145.282523796265,60.4879735039864
881,-166.233599526823,65.1442329238139
911,-145.165412372506,61.5567142991801
920,-158.112869919694,56.9381137270578
948,-157.607176225815,57.8511679292584
975,-152.943610948323,57.3663916008907
1006,-149.333761370637,61.1159335251567
1025,-153.932496525979,61.5085155574528
1026,-141.398439266152,63.8937416281272
1031,-154.502997825249,57.1381986087518
1033,-147.156973374062,68.2870624419945
1107,-155.736515793049,57.6990382456848
1111,-154.246437805348,58.2864622470759
1112,-153.001393095985,65.3842281927493
1115,-158.180245368416,69.4958336812622
1137,-146.634341224057,61.9470041416972
1146,-149.23728180373,61.7014799083459
1178,-155.108819122181,58.8670201352504
1215,-151.896064563985,68.0244585244635
1222,-151.403459407876,61.0291230968095
1228,-154.314372534981,57.0196426488627
1251,-134.211860406642,58.8206285625693
1257,-145.627119817489,62.0905750149501
1314,-148.208951761601,62.9619212880854
1321,-145.046175581267,66.0569131411982
1345,-146.981700230324,68.1497091453907
1349,-151.881165828889,59.2667106299763
1357,-148.644955528921,67.5973000738784
1407,-142.225990509743,62.8800879789082
1509,-135.274306504046,59.2357359692273
1515,-155.405351523545,58.945643022276
1536,-142.662648257719,63.4568692215836
1550,-143.969642833626,61.7639097051794
1568,-149.804801328179,62.7154602562744
1573,-146.338975683097,64.3778515683591
1598,-146.524730039606,63.9116532650236
1609,-147.44949785589,63.9116849479914
1636,-154.21262669642,58.5153557289928
1658,-150.700916527277,61.5034016295211
1687,-136.404150153992,58.3272216240059
1730,-151.000011719723,65.4518213932116
1732,-150.607940123147,68.5460519562858
1736,-153.912872459002,60.3893183803319
1791,-160.744299896917,55.8447972397866
1899,-151.656311413307,68.4274815373031
1903,-135.696282971267,58.6195794809253
1912,-135.576944501946,59.5313395281555
1982,-153.694788471631,57.0243105816182
2003,-153.789468441202,63.8702128116309
2004,-155.501040964866,59.2850152645473
2042,-154.78192474772,58.3117097741426
2085,-145.140302475397,62.6365313921969
2115,-148.034091356916,62.458131427268
2125,-134.898464077652,56.8006370900151
2126,-134.049084338853,58.1842202881975
2138,-147.394553874628,67.8783743637309
2140,-151.580657706208,61.2657143596155
2143,-147.528604658448,59.8898072955843
2145,-135.357520567265,58.359965626896
2155,-152.071890447767,60.8124742251097
2190,-146.907078252131,65.9373623152888
2209,-164.94726082702,65.3307889829112
2220,-151.908975005193,68.2676238145552
