BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,02/01/2013,19
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,06/01/2013,3
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,12/01/2013,2
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,18/01/2013,13
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,30/01/2013,8
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,05/02/2013,7
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,11/02/2013,11
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,23/02/2013,97
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,07/03/2013,3
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,25/03/2013,0
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,02/04/2013,6
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,12/04/2013,0
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,18/04/2013,1
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,24/04/2013,8
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,01/05/2013,3
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,20/05/2013,5
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,31/05/2013,0
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,06/06/2013,8
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,12/06/2013,2
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,24/06/2013,35
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,06/07/2013,2
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,18/07/2013,2
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,24/07/2013,57
25,Sydney City Ocean Beaches,Randwick Council,Clovelly Beach,151.267505,-33.914486,08/08/2013,39
