"dose","bites"
1.5,4.06201920231798
1.4,4.183300132670378
2,3.5355339059327378
2.3,3.5355339059327378
2.3,3.24037034920393
2.5,3.24037034920393
3.4,3.5355339059327378
3.5,3.5355339059327378
3.4,3.391164991562634
3.5,3.24037034920393
4.5,3.082207001484488
4.4,2.9154759474226504
4.5,2.9154759474226504
4.9,2.5495097567963922
5,2.5495097567963922
5.1,2.345207879911715
5.8,1.224744871391589
6,.7071067811865476
4.7,1.5811388300841898
4.8,1.8708286933869707
4.6,1.8708286933869707
4.8,2.345207879911715
4.5,2.345207879911715
4.1,2.345207879911715
3.5,2.7386127875258306
3.3,2.9154759474226504
3,2.9154759474226504
3,3.24037034920393
2.6,3.082207001484488
2.5,2.7386127875258306
2.6,2.7386127875258306
2.2,2.7386127875258306
2,2.9154759474226504
2.2,2.5495097567963922
2.2,2.5495097567963922
2.5,2.5495097567963922
2.6,2.5495097567963922
3.1,2.345207879911715
3.1,1.224744871391589
3.2,1.5811388300841898
3.2,2.1213203435596424
3.5,1.8708286933869707
3.6,1.8708286933869707
3.6,1.224744871391589
3.5,1.224744871391589
3.6,1.5811388300841898
3.9,1.8708286933869707
5.2,1.8708286933869707
3.7,1.8708286933869707
3.1,1.5811388300841898
3.9,1.5811388300841898
3.8,1.5811388300841898
