"","date","collar","time","lat","long"
"1","2016-02-26","D4",2016-02-26 00:00:00,22.4200211859811,128.353202345182
"2","2016-02-26","D4",2016-02-26 01:00:00,22.202431747854,127.210606360928
"3","2016-02-26","D4",2016-02-26 02:00:00,21.2557924808438,126.649403281575
"4","2016-02-26","D4",2016-02-26 03:00:00,21.7448623995088,127.142481989211
"5","2016-02-26","D4",2016-02-26 04:00:00,21.8365164425569,127.40227201514
"6","2016-02-26","D4",2016-02-26 05:00:00,22.2800243882273,125.224229171867
"7","2016-02-26","D4",2016-02-26 06:00:00,21.3336157267103,125.534880552451
"8","2016-02-26","D4",2016-02-26 07:00:00,22.7947186371495,124.383533984966
"9","2016-02-26","D4",2016-02-26 08:00:00,23.7493659162889,123.820081684862
"10","2016-02-26","D4",2016-02-26 09:00:00,22.7830379309125,123.903017396937
"11","2016-02-26","D4",2016-02-26 10:00:00,23.6664910694418,123.819371250324
"12","2016-02-26","D4",2016-02-26 11:00:00,23.8932447739839,122.608031388449
"13","2016-02-26","D4",2016-02-26 12:00:00,22.8397107561372,123.838461808358
"14","2016-02-26","D4",2016-02-26 13:00:00,22.9031259887488,124.165460502091
"15","2016-02-26","D4",2016-02-26 14:00:00,22.7748627743895,125.203865956885
"16","2016-02-26","D4",2016-02-26 15:00:00,24.7438702787151,126.465397023313
"17","2016-02-26","D4",2016-02-26 16:00:00,25.168188669893,127.683699248332
"18","2016-02-26","D4",2016-02-26 17:00:00,24.096775171807,126.816994156604
"19","2016-02-26","D4",2016-02-26 18:00:00,22.9996085566203,126.671110643217
"20","2016-02-26","D4",2016-02-26 19:00:00,21.2588932751807,125.024443184098
"21","2016-02-26","D4",2016-02-26 20:00:00,20.5674409048207,125.742038401388
"22","2016-02-26","D4",2016-02-26 21:00:00,20.3785685784646,126.559699353234
"23","2016-02-26","D4",2016-02-26 22:00:00,20.7285812978504,125.286682382499
"24","2016-02-26","D4",2016-02-26 23:00:00,20.9897011036587,124.670575379195
