"","date","collar","time","lat","long"
"1","2016-02-26","H8",2016-02-26 00:00:00,22.3617183773075,128.369075321968
"2","2016-02-26","H8",2016-02-26 01:00:00,23.2954264069568,128.809170975771
"3","2016-02-26","H8",2016-02-26 02:00:00,23.5577576789345,129.902245101778
"4","2016-02-26","H8",2016-02-26 03:00:00,24.9303933420112,130.539906462261
"5","2016-02-26","H8",2016-02-26 04:00:00,24.8618119150009,129.591756875994
"6","2016-02-26","H8",2016-02-26 05:00:00,22.5705899157143,130.98282520273
"7","2016-02-26","H8",2016-02-26 06:00:00,23.5579288086021,131.633953672474
"8","2016-02-26","H8",2016-02-26 07:00:00,24.4285708588402,131.905533999537
"9","2016-02-26","H8",2016-02-26 08:00:00,25.0800362539713,131.15596363181
"10","2016-02-26","H8",2016-02-26 09:00:00,25.023063007182,130.966111879166
"11","2016-02-26","H8",2016-02-26 10:00:00,23.6711238381748,131.854350677937
"12","2016-02-26","H8",2016-02-26 11:00:00,24.3263796045458,131.142072312624
"13","2016-02-26","H8",2016-02-26 12:00:00,26.3749095804779,130.792891587976
"14","2016-02-26","H8",2016-02-26 13:00:00,25.6364513479745,130.833624569842
"15","2016-02-26","H8",2016-02-26 14:00:00,26.1176633339224,130.069643005752
"16","2016-02-26","H8",2016-02-26 15:00:00,24.9746107174622,131.848158819934
"17","2016-02-26","H8",2016-02-26 16:00:00,26.8850920934354,131.956761378175
"18","2016-02-26","H8",2016-02-26 17:00:00,25.8785260149996,131.067889651575
"19","2016-02-26","H8",2016-02-26 18:00:00,25.8533323966588,130.664927438913
"20","2016-02-26","H8",2016-02-26 19:00:00,27.2873748642799,132.446583136738
"21","2016-02-26","H8",2016-02-26 20:00:00,27.1528739928018,132.483116104838
"22","2016-02-26","H8",2016-02-26 21:00:00,29.0991359801111,132.761870391888
"23","2016-02-26","H8",2016-02-26 22:00:00,29.8111770361131,132.351711991691
"24","2016-02-26","H8",2016-02-26 23:00:00,28.8911272720748,132.240445535629
