caste,lnmass,lnenergy
worker,3.8501476017100584,3.6888794541139363
worker,3.9889840465642745,3.6888794541139363
worker,4.110873864173311,3.6888794541139363
worker,4.174387269895637,3.6635616461296463
worker,4.248495242049359,3.871201010907891
worker,4.2626798770413155,3.8501476017100584
worker,4.343805421853684,3.9318256327243257
worker,4.48863636973214,3.6888794541139363
worker,4.51085950651685,3.9512437185814275
worker,3.9512437185814275,4.110873864173311
worker,3.9889840465642745,4.189654742026425
worker,4.1588830833596715,4.143134726391533
worker,4.23410650459726,4.2626798770413155
worker,4.276666119016055,4.248495242049359
worker,4.248495242049359,4.51085950651685
worker,4.465908118654584,4.394449154672439
worker,4.532599493153256,4.219507705176107
worker,4.51085950651685,4.48863636973214
worker,4.8283137373023015,4.6443908991413725
worker,4.7535901911063645,5.017279836814924
worker,4.875197323201151,5.043425116919247
lazy,4.382026634673881,3.828641396489095
lazy,4.543294782270004,4.143134726391533
lazy,4.912654885736052,3.5553480614894135
lazy,4.700480365792417,4.060443010546419
lazy,4.700480365792417,4.0943445622221
lazy,4.762173934797756,4.30406509320417
lazy,4.859812404361672,4.0943445622221
lazy,5.056245805348308,4.418840607796598
lazy,5.262690188904886,4.23410650459726
lazy,5.147494476813453,4.499809670330265
lazy,5.087596335232384,4.574710978503383
lazy,4.997212273764115,4.532599493153256
lazy,4.875197323201151,4.61512051684126
lazy,4.812184355372417,4.48863636973214
