height,herbivores,sqrtarea
low,minus,9.405572816155324
low,minus,34.467735637839624
low,minus,46.67348497809008
low,minus,16.642139285560617
low,minus,24.377497820736238
low,minus,38.350603645835875
low,minus,33.77722309486083
low,minus,61.095996595521704
low,minus,35.45617012594564
low,minus,46.1744041650783
low,minus,35.41183982794455
low,minus,25.044943601453767
low,minus,.7071067811865476
low,minus,41.09878343698266
low,minus,36.15806410747124
low,minus,41.79047977709756
low,plus,11.976760830875767
low,plus,14.471226623890596
low,plus,.7071067811865476
low,plus,8.0073341381511
low,plus,.7071067811865476
low,plus,.7071067811865476
low,plus,27.638900122834123
low,plus,42.98558828258606
low,plus,3.1503650582115084
low,plus,8.343572376386508
low,plus,.7071067811865476
low,plus,4.122305180357223
low,plus,.7071067811865476
low,plus,35.97295928888809
low,plus,3.504425773218774
low,plus,2.7511088673478556
mid,minus,.7071067811865476
mid,minus,24.95068736528114
mid,minus,46.563977493337056
mid,minus,.7071067811865476
mid,minus,5.139863811425357
mid,minus,6.180550137325964
mid,minus,46.95031842277537
mid,minus,22.89894757406986
mid,minus,19.42915335262965
mid,minus,37.13323309382042
mid,minus,14.197267342696621
mid,minus,3.1503650582115084
mid,minus,21.61082136338182
mid,minus,16.642139285560617
mid,minus,45.54070706521804
mid,minus,47.93532100653964
mid,plus,.7071067811865476
mid,plus,32.20602428118069
mid,plus,35.07757688324551
mid,plus,17.53828383850598
mid,plus,6.243764889872136
mid,plus,13.044017785943103
mid,plus,25.633852617193536
mid,plus,36.50395047114764
mid,plus,37.52248392630744
mid,plus,45.781515920729404
mid,plus,20.026332664769154
mid,plus,9.972983505451115
mid,plus,2.7511088673478556
mid,plus,40.131907505126144
mid,plus,40.811125933990105
mid,plus,44.86306721569536
