"","date","collar","time","lat","long"
"1","2016-02-26","C3",2016-02-26 00:00:00,28.8699773662263,-36.5399827786306
"2","2016-02-26","C3",2016-02-26 01:00:00,29.3215665117344,-36.2136258670661
"3","2016-02-26","C3",2016-02-26 02:00:00,30.8321861328123,-37.7031649295538
"4","2016-02-26","C3",2016-02-26 03:00:00,29.7505474304776,-37.3960971784753
"5","2016-02-26","C3",2016-02-26 04:00:00,30.4376789570613,-37.0054134169474
"6","2016-02-26","C3",2016-02-26 05:00:00,31.1805914664302,-36.4054328006739
"7","2016-02-26","C3",2016-02-26 06:00:00,30.5301803949947,-37.2092526658994
"8","2016-02-26","C3",2016-02-26 07:00:00,30.981139367344,-39.2065570472411
"9","2016-02-26","C3",2016-02-26 08:00:00,31.8010153433105,-39.1664800115102
"10","2016-02-26","C3",2016-02-26 09:00:00,32.2391406954385,-38.6509041992594
"11","2016-02-26","C3",2016-02-26 10:00:00,31.8872103000052,-40.0713217970052
"12","2016-02-26","C3",2016-02-26 11:00:00,31.8067669049546,-40.2636631941332
"13","2016-02-26","C3",2016-02-26 12:00:00,32.3464441306133,-41.9821026253715
"14","2016-02-26","C3",2016-02-26 13:00:00,32.0703181478581,-40.5445288756419
"15","2016-02-26","C3",2016-02-26 14:00:00,31.4004778088803,-41.6223478071633
"16","2016-02-26","C3",2016-02-26 15:00:00,31.7389216592771,-42.7997930884427
"17","2016-02-26","C3",2016-02-26 16:00:00,30.9902595526951,-41.8933148988571
"18","2016-02-26","C3",2016-02-26 17:00:00,31.3656563228286,-41.4496891216808
"19","2016-02-26","C3",2016-02-26 18:00:00,30.9745517841331,-42.479058726899
"20","2016-02-26","C3",2016-02-26 19:00:00,30.732953818889,-42.0407251267185
"21","2016-02-26","C3",2016-02-26 20:00:00,33.3012462216912,-44.0235648571044
"22","2016-02-26","C3",2016-02-26 21:00:00,33.44420914455,-44.059994455999
"23","2016-02-26","C3",2016-02-26 22:00:00,33.1733277608722,-44.8608749058536
"24","2016-02-26","C3",2016-02-26 23:00:00,33.3060045958962,-45.1707642401723
